id,name,rating,review_count,latitude,longitude,address1,city,state,distance
MuLxhCf7inLyO3P_hUvTYQ,Little Caesars Pizza,3.5,14,42.24455,-83.69992,3000 Packard,Ann Arbor,MI,4934.64515995632
c_xCFVHOL4HZlJ5mMBInSQ,Cottage Inn Pizza,2.5,41,42.276077842145,-83.7782755330943,2301 W Stadium Blvd,Ann Arbor,MI,3049.12341030166
f773oGOzVI17hj-Xz6dp3g,Palio,3,317,42.2782669067383,-83.7482986450195,347 S Main St,Ann Arbor,MI,608.605118971384
QTP6pGpqQKg3Tm3wAcMKIg,Brown Jug,3,135,42.2748299,-83.7342834,1204 S University Ave,Ann Arbor,MI,611.897186019269
wno8WjG8pnWr8RZ3dNxpMg,Little Caesars Pizza,3,20,42.26999,-83.77282,1944 W Stadium Blvd,Ann Arbor,MI,2700.30496703933
Wiry4DuTOnTR7H_G69MZFg,Stadium Deli & Wine Shop,4.5,9,42.258049,-83.7380524,1956 S Industrial Hwy,Ann Arbor,MI,2110.46120808843
dtX1MT3m2gnLHPJVGFayZA,Ann Arbor Fish & Chicken,4,36,42.2506884,-83.6646645,4872 Washtenaw Ave,Ann Arbor,MI,6976.47037397307
HEf_uhuwEdR6pVOHSaKzhg,Domino's Pizza,3.5,10,42.2501525878906,-83.6627578735352,4910 Washtenaw Ave,Ann Arbor,MI,7102.35154033674
WQGUTUmR5uge1Z6PZYd4Rw,Mr Spots,4,109,42.2716217,-83.7407532,808 S State St,Ann Arbor,MI,573.862914974638
4jDNfTFqVPPX0hNrAF3sFw,Domino's Pizza,2,3,42.2704499,-83.7403999,716 Packard St,Ann Arbor,MI,709.858847550846
4HMm7ZGRaNlx0NMlbBRE0w,Hungry Howie's Pizza,2.5,17,42.256783,-83.692352,3365 Washtenaw Ave,Ann Arbor,MI,4594.09098543154
8ctLeteWujq_EfH2lRSTAw,Supino Pizzeria,4.5,882,42.345476174914,-83.040064828648,2457 Russell St,Detroit,MI,4587.88405494946
fGj2fwdxSuIB3hYPaUq1WQ,Michigan & Trumbull,4.5,85,42.3320754543569,-83.0664473117439,1441 W Elizabeth St,Detroit,MI,3940.39218442374
DuFQa_-drBCwMRGsMzMPsQ,Pie Sci,4.5,238,42.3539638448561,-83.0800281465053,5163 Trumbull Ave,Detroit,MI,1300.98551045937
8Pi4ES2PUynNKgOIMhnwcw,Grandma Bob's,4.5,51,42.33113,-83.07584,2135 Michigan Ave,Detroit,MI,3697.06029804881
TUR6H5mBXMDGt3qjv5sekg,Buddy's Pizza,4.5,267,42.41897,-83.06405,17125 Conant St,Detroit,MI,6660.85660367099
PWkqo_whZ0qhLTpLsi5xjw,Mootz Pizzeria + Bar,4,206,42.334431,-83.046934,1230 Library St,Detroit,MI,4773.14821374689
3OC3z9P2RFJBMuT66Hy_7g,Toarmina's Pizza,4.5,2,42.3815,-83.1103399,2470 Collingwood St,Detroit,MI,2742.93123800492
K-M8mX1aMXfqNZ4BufvaUw,PizzaPlex,4.5,67,42.3200025869088,-83.0967996652594,4458 Vernor Hwy,Detroit,MI,4740.68612105324
-FIq8Wuw7CU4a30-ykAJtw,Sicily's Pizzeria & Subs,4,62,42.32372,-83.08766,3554 W Vernor Hwy,Detroit,MI,4320.61511976202
ngu3My-XGzNNL7Bxul5ulQ,Ottava Via,4,664,42.331716,-83.065696,1400 Michigan Ave,Detroit,MI,3996.28784473115
fb2TGeYOov5W4CUP_nYBqg,Buddy's Pizza - Downtown,4.5,50,42.3361989785321,-83.0495368518519,1565 Broadway St,Downtown Detroit,MI,4482.76094639288
JoZ0n3kkbSuGr4Xemig0mA,Motor City Brewing Works,4,507,42.35183,-83.066046,470 W Canfield,Detroit,MI,2360.01436428042
FZnsqDn-j-oH2rsvocmzFg,Amar Pizza,4.5,114,42.406071,-83.0642868,12195 Joseph Campau,Hamtramck,MI,5324.19269884812
-PS3rvMF35seecA1_a13vA,Mike's Pizza Bar,4,78,42.34079,-83.05384,2515 Woodward Ave,Detroit,MI,3885.1835492049
7MIK2hnLMK0NwXZXxjHl-w,Brass Rail Pizza Bar,4,139,42.33702,-83.05139,18 W Adams Ave,Detroit,MI,4299.66272432566
1t6ETjkFiNTI12e-pdW-Qg,Chicago's Pizza,4,30,42.31955,-83.0981,4650 W Vernor Hwy,Detroit,MI,4806.33172644567
LWH5vAUTrWemHqTWIkZ83g,Paul's Pizzeria,4,17,42.31264,-83.1235,7635 W Vernor Hwy,Detroit,MI,6145.87456680581
R7THeCQTcU7EAgZT7O_Ywg,Sgt. Pepperoni's,3.5,82,42.3513229,-83.0603082,4120 Woodward Ave,Detroit,MI,2845.14226362953
M5UMOhLFzoF8GxMve9sErA,Eat-N-Out Pizza & Gelato,4,61,42.3351522901373,-83.0420966697811,531 Monroe Ave,Detroit,MI,5030.72642360537
KYoip_XCktFrFQl6pNS8Vw,Jolly Pumpkin Pizzeria and Brewery- Detroit,4,455,42.3512597416829,-83.0652487171967,441 W Canfield,Detroit,MI,2451.00596973517
fJ-g62WpfeNbR4qv7qAawA,Niki's Pizza,3.5,235,42.3337210606674,-83.04200186272,735 Beaubien St,Detroit,MI,5136.02963272894
nKbH9uE8WnZJjDDIVlx38w,Hungry Howie's Pizza,3,2,42.33864,-83.03259,1533 E Lafayette St,Detroit,MI,5477.57978586667
9xlGxd3zL3Rpq5fhIvHqLQ,Shield's Restaurant Bar Pizzeria,3.5,32,42.3574742,-83.0649492,5057 Woodward Ave,Detroit,MI,2207.78193336422
MG_dEntWnCwiyczRERCc1A,La Lanterna,4,169,42.3330441,-83.0490294,1224 Griswold St,Detroit,MI,4745.73076442929
JY9LzStvteK-v1bKJNZQkg,Jet's Pizza,2.5,66,42.3528060913086,-83.0696105957031,4718 Anthony Wayne Dr,Detroit,MI,2047.93149559615
AAMmct3aY1QIJ9uwoOjHTA,Jet's Pizza,2.5,49,42.3424987792969,-83.0111999511719,3420 E Jefferson Ave,Detroit,MI,6869.08515254038
A7qhrIwaUgdwcLD44JY5XA,San Morello,4,333,42.33439,-83.04848,1400 Woodward Ave,Detroit,MI,4681.86687622963
4lsrJbWguhR2V8v5LCzbcQ,Saucy Brew Works - Detroit,3,2,42.3434469636121,-83.0524337327271,2671 John R St,Detroit,MI,3807.80597873264
SHCi5sWbgwGqnwzUAN3uHw,POP + Offworld,4,45,42.3312951,-83.0441362,128 Cadillac Square,Detroit,MI,5194.13604858336
QjiScrrpktNME-EXhK7Gig,Supino Pizzeria,4.5,2,42.3693032,-83.0728591,6519 Woodward Ave,Detroit,MI,1667.5340622038
HTCstEV_jNFvRn0Tw40vWg,La Noria Bistro,4.5,66,42.3311517387629,-83.1109030544758,5517 Michigan Ave,Detroit,MI,3870.31091714944
-FmYbJ3X8LrhqodoFRnWrQ,Papa's Pizza & BBQ,3,17,42.365547,-83.087024,2697 Grand Blvd,Detroit,MI,475.681004532033
jbr7V97_txcxC7bVYcf4cA,Dan & Vi's Pizza,4.5,32,42.3736333791563,-83.0462662317685,5951 Chene St,Detroit,MI,3878.76914410292
j0Bc7U-3-LgzBJ30qcl4RQ,Slices,3,50,42.3324686,-83.0476759,1043 Woodward Ave,Detroit,MI,4864.60440584736
6z-SLA3D3JmyRuZUPGZFfQ,Jerry's Pizza & Barbecue,3,17,42.3750687,-83.1393127,11749 Livernois Ave,Detroit,MI,4215.19455652949
EcwW8y3CPpOz8aYdKERZ9Q,Amicci's Pizza,3.5,75,42.3976603228083,-83.0585320036707,9841 Joseph Campau St,Hamtramck,MI,4738.83563061791
hv-UCrOw9cKz5Bqt66OWmQ,Gregg's Pizza & Bar-B-Que,3,25,42.41803,-83.14049,17160 Livernois Ave,Detroit,MI,7411.89860552472
whMSbux2pZ-LMgHaaMMEOQ,Amicci's Pizza,2.5,46,42.322354,-83.0901338,3849 W Vernor Hwy,Detroit,MI,4455.50414187026
oiAg2xABaFCKiZTyBMKIvg,Z's Villa,4,109,42.3665009,-83.0696411,42 Piquette St,Detroit,MI,1808.77545671152
Gm81oORyOZDdaqQT-vadPg,Royal Barbecue Pizza,4,32,42.37757,-83.03192,5844 Mt Elliott St,Detroit,MI,5139.14034412039
FBBH_-qcHLlV9j2zTUpX9g,Cottage Inn Pizza,3,25,42.3335328432304,-83.0456439472152,107 Monroe St,Detroit,MI,4918.67183418109
lUUQ91Ljk_wtO43wu3lZAA,Town Pump Tavern,5,2,42.33803855796,-83.0539966666666,,Detroit,MI,4072.13861873349
DrZVJrQl2eo1yX_zG0588g,Value Pizza,4,5,42.352653,-83.074443,1127 W Warren Ave,Detroit,MI,1738.94116314967
VOoMSTaQFo3T4zrMJ1D5ZQ,Halal Desi Pizza & Gyro's,4,52,42.397411,-83.065502,2200 Caniff St,Hamtramck,MI,4417.78043614519
oFwwTeISt_UKOEPf71ViFA,Happy's Pizza,2,43,42.3719794,-83.0742231,7450 Woodward Ave,Detroit,MI,1739.60997421257
Tk8k4KuWnAg79ogwqXyXVg,Golden Halal Pizza,3.5,8,42.344009,-83.1637,10509 W Warren Ave,Dearborn,MI,6315.58333875375
66OeH9RD62D3bXbqefjYvw,Giovanni's Ristorante,4.5,280,42.2903220548957,-83.1459120674591,330 S Oakwood,Detroit,MI,9201.46350336191
AbaI9pj4R1Z0eDpljDjzYA,Grub Inn Pizza & Grill,5,3,42.3122833818676,-83.1523576006293,10406 Eagle St,Dearborn,MI,7518.96765379061
Qmw_B6PHsf_Y17bb9Co3mA,MoeJoe Pizza,5,1,42.31944,-83.02251,1000 wyandotte Street E,Windsor,ON,7385.91821159072

8-eWe05s8Z7I1AejHXNsEA,Craft Pizza,4.5,271,41.9048454,-87.6775072,1252 N Damen Ave,Chicago,IL,40.8992181234782
DXwSYgiXqIVNdO9dazel6w,Pequod's Pizzeria,4,6355,41.92187,-87.664486,2207 N Clybourn Ave,Chicago,IL,2158.70845815224
8vFJH_paXsMocmEO_KAa3w,Lou Malnati's Pizzeria,4,6206,41.890357,-87.633704,439 N Wells St,Chicago,IL,4000.99905317202
K_rdigDLXDYoyCjerZLQsg,Vito & Angelo's Pizzeria & Restaurant,4,112,41.924806,-87.718771,3644 W Fullerton Ave,Chicago,IL,4035.48028542301
krWnipMm4KE35Op0xQaAdw,Bartoli’s Pizzeria,4.5,18,41.894129,-87.667541,658 N Ashland Ave,Chicago,IL,1490.07535046338
tW2jfL-qMccAYZSghPBbHA,The Art of Pizza,4,1186,41.9371221,-87.6683814,3033 N Ashland Ave,Chicago,IL,3637.26295495018
11O_S3IFvyF9JAB5uhLdAw,Dimo's Pizza,4,426,41.911037,-87.677126,1615 N Damen Ave,Chicago,IL,655.709529524877
I-rQdKELEOd9Ra5L_nPJIg,Pizza Friendly Pizza,4.5,40,41.90055,-87.68662,1039 N Western Ave,Chicago,IL,898.745892532366
wsNaHMtavVeRsSv0fra0mA,Parlor Pizza Bar - Wicker Park,3.5,409,41.903526,-87.673446,1824 West Division St,Chicago,IL,400.989609360141
GPN0FxOs2WU1_0JGj4KvIA,Knead Great Pizza,4.5,156,41.910211,-87.680272,2101 W North Ave,Chicago,IL,598.817734004726
-gy7Xa9i6o9iyFijgW-nIg,Pizza City USA,5,42,41.911271,-87.7024817,,Chicago,IL,2155.33314567923
nvVCxKOqBNtTjqbhh2H5Cg,Paradise Park,4,364,41.91025,-87.67566,1913 W North Ave,Chicago,IL,592.258389141549
Z2nOMPedr7XYhgYhILJjEA,Piece Brewery and Pizzeria,4,3568,41.9103256994423,-87.6760850295053,1927 W North Ave,Chicago,IL,591.061943178209
wiNuegM8MNw9WIP0wfMmeA,Coalfire Pizza,4.5,1093,41.89075,-87.65988,1321 W Grand Ave,Chicago,IL,2172.25503125401
b04EoiyFImaaSL7tqv3L3Q,Milly’s Pizza In The Pan,5,22,41.913973,-87.709744,1801 N Spaulding Ave,Chicago,IL,2821.95557191182
1wSxClt75nOBS31--dlWYg,Bob's Pizza,4.5,208,41.853945,-87.6683543622494,1659 W 21st St,Chicago,IL,5747.80619184637
